USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
NH,33001,873174,Belknap County,1040786578,176534288,401.85,68.16,43.519109,-71.425366                                                                                                                 
NH,33003,873175,Carroll County,2413516774,159618928,931.864,61.629,43.867774,-71.20156                                                                                                                
NH,33005,873176,Cheshire County,1830367239,57589060,706.709,22.235,42.92546,-72.248183                                                                                                                
NH,33007,873177,Coos County,4647924493,92541532,1794.574,35.73,44.652548,-71.289431                                                                                                                   
NH,33009,873178,Grafton County,4425249955,106463890,1708.599,41.106,43.926439,-71.842424                                                                                                              
NH,33011,873179,Hillsborough County,2270221473,41290396,876.537,15.942,42.911532,-71.723055                                                                                                           
NH,33013,873180,Merrimack County,2416176927,57199007,932.891,22.085,43.299579,-71.680041                                                                                                              
NH,33015,873181,Rockingham County,1801152748,258528921,695.429,99.819,42.988664,-71.09908                                                                                                             
NH,33017,873182,Strafford County,951724112,39173382,367.463,15.125,43.293272,-71.035589                                                                                                               
NH,33019,873183,Sullivan County,1393091317,36932078,537.876,14.26,43.361188,-72.222084                                                                                                                
